,fed_rssd,inst.webaddr,cbsa_metro,mutual,cert,docket,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,county,cbsa_metro_name,estymd,offdom,offfor,stmult,specgrp,subchaps,insdate,effdate,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb
3186,300063,http://www.newomnibank.com,31080.0,Stock,23086,15473,4357252,"New OMNI Bank, National Association",Alhambra,CA,91801,3/31/2019,5/19/2019,N,1235 South Garfield Avenue,"CKH CAPITAL, INC.",Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2/12/1980,3,0,0,4,0,2/12/1980,3/16/2018,0,0,OCC,DIF,San Francisco,SAN FRANCISCO,Los Angeles (North),San Francisco,Western,Western,0,1
3187,2736451,www.newpeoplesbank.com,,Stock,34890,0,3049617,"New Peoples Bank, Inc.",Honaker,VA,24260,3/31/2019,5/19/2019,SM,53 Commerce Drive,"NEW PEOPLES BANKSHARES, INC.",Russell,,10/28/1998,22,0,1,4,0,10/28/1998,6/29/2007,0,0,FED,DIF,Atlanta,ATLANTA,Richmond,Richmond,Northeastern,Southeast,0,1
3188,2754222,www.nrsb.net,,Stock,34860,15223,0,New Republic Savings Bank,Roanoke Rapids,NC,27870,3/31/2019,5/19/2019,SA,420 Becker Drive,,Halifax,,12/15/1998,3,0,0,4,0,12/15/1998,7/21/2011,0,0,OCC,DIF,Atlanta,ATLANTA,Raleigh,Richmond,Northeastern,Southeast,0,1
3189,331713,http://www.newtripolibank.net,10900.0,Stock,7659,11349,1138106,New Tripoli Bank,New Tripoli,PA,18066,3/31/2019,5/19/2019,SM,Market And Madison Streets,"NEW TRIPOLI BANCORP, INC.",Lehigh,"Allentown-Bethlehem-Easton, PA-NJ",3/10/1910,3,0,0,5,0,1/1/1934,3/31/2006,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1
3190,694904,https://www.mynycb.com,35620.0,Stock,16022,11158,2132932,New York Community Bank,Westbury,NY,11590,3/31/2019,5/19/2019,SB,615 Merrick Avenue,"NEW YORK COMMUNITY BANCORP, INC.",Nassau,"New York-Newark-Jersey City, NY-NJ-PA",1/1/1859,254,0,1,4,0,7/1/1943,11/30/2018,0,0,FDIC,DIF,New York,NEW YORK,New York City,New York,Northeastern,Northeast,0,0
3191,3472859,http://www.newbankusa.com,35620.0,Stock,58203,0,0,NewBank,Flushing,NY,11354,3/31/2019,5/19/2019,NM,146-01 Northern Boulevard,,Queens,"New York-Newark-Jersey City, NY-NJ-PA",9/29/2006,5,0,1,4,0,9/29/2006,1/1/2010,0,0,FDIC,DIF,New York,NEW YORK,New York City,New York,Northeastern,Northeast,0,1
3192,67209,www.newburyportbank.com,14460.0,Stock,90251,8496,4267472,Newburyport Five Cents Savings Bank,Newburyport,MA,1950,3/31/2019,5/19/2019,SB,63 State Street,NEWBURYPORT FIVE CENTS BANCORP MHC,Essex,"Boston-Cambridge-Newton, MA-NH",4/1/1854,10,0,1,4,0,7/1/1985,6/13/2018,0,0,FDIC,DIF,New York,NEW YORK,North Boston,Boston,Northeastern,Northeast,0,1
3193,632410,www.newfieldnationalbank.bank,37980.0,Stock,14646,0,1830361,Newfield National Bank,Newfield,NJ,8344,3/31/2019,5/19/2019,N,18-24 West Boulevard,"NEWFIELD BANCORP, INC.",Gloucester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1/1/1934,11,0,0,4,0,7/31/1934,4/27/2010,0,0,OCC,DIF,New York,NEW YORK,Jamesburg,Philadelphia,Northeastern,Northeast,0,1
3194,938859,WWW.NEWFIRST.COM,,Stock,3183,0,3213922,NewFirst National Bank,El Campo,TX,77437,3/31/2019,5/19/2019,N,200 East Jackson Street,"NEWFIRST FINANCIAL GROUP, INC.",Wharton,,1/1/1902,9,0,0,4,1,1/1/1934,3/31/2006,0,1,OCC,DIF,Dallas,DALLAS,Houston,Dallas,Southern,West,0,1
3195,894272,www.newportfederalbank.com,,Stock,29089,2892,0,Newport Federal Bank,Newport,TN,37821,3/31/2019,5/19/2019,SA,170 West Broadway,,Cocke,,8/1/1934,3,0,0,5,0,11/1/1934,5/11/2015,0,0,OCC,DIF,Dallas,DALLAS,Knoxville,Atlanta,Southern,Southeast,0,1
3196,321273,www.newtonfederal.com,12060.0,Stock,29510,3575,0,Newton Federal Bank,Covington,GA,30014,3/31/2019,5/19/2019,SA,3175 Highway 278,,Newton,"Atlanta-Sandy Springs-Roswell, GA",1/1/1928,2,0,0,4,0,1/20/1947,4/27/2017,0,0,OCC,DIF,Atlanta,ATLANTA,Atlanta,Atlanta,Southern,Southeast,0,1
3197,507509,www.nsbonline.com,14860.0,Stock,18199,8506,5045444,Newtown Savings Bank,Newtown,CT,6470,3/31/2019,5/19/2019,SB,39 Main Street,NSB MUTUAL HOLDING COMPANY,Fairfield,"Bridgeport-Stamford-Norwalk, CT",10/1/1855,18,0,0,4,0,7/1/1960,1/1/2018,0,0,FDIC,DIF,New York,NEW YORK,Hartford,New York,Northeastern,Northeast,0,1
3198,652874,www.nexbank.com,19100.0,Stock,29209,3102,0,"NexBank, SSB",Dallas,TX,75201,3/31/2019,5/19/2019,SB,"2515 Mckinney Ave, # 1100",,Dallas,"Dallas-Fort Worth-Arlington, TX",11/30/1934,3,0,0,9,0,11/30/1934,12/1/2015,0,0,FDIC,DIF,Dallas,DALLAS,Dallas,Dallas,Southern,West,0,1
3199,18827,http://www.nextierbank.com,38300.0,Stock,7900,9637,2264404,"NEXTIER BANK, NATIONAL ASSOCIATION",Kittanning,PA,16201,3/31/2019,5/19/2019,N,222 Market Street,NEXTIER INCORPORATED,Armstrong,"Pittsburgh, PA",1/1/1897,28,0,1,4,0,1/1/1934,4/30/2017,0,0,OCC,DIF,New York,NEW YORK,Wexford,Cleveland,Northeastern,Northeast,0,1
3200,2941068,www.nicoletbank.com,24580.0,Stock,57038,0,3103603,Nicolet National Bank,Green Bay,WI,54301,3/31/2019,5/19/2019,N,111 N. Washington Street,"NICOLET BANKSHARES, INC.",Brown,"Green Bay, WI",10/31/2000,38,0,1,4,0,10/31/2000,4/28/2017,0,1,OCC,DIF,Chicago,CHICAGO,Appleton,Chicago,Central,Central,0,1
3201,789051,http://www.nvalleybank.com,48620.0,Stock,4652,0,0,NINNESCAH VALLEY BANK,Cunningham,KS,67035,3/31/2019,5/19/2019,NM,101 East First Street,,Kingman,"Wichita, KS",7/23/1925,1,0,0,2,1,1/1/1934,7/2/2018,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Wichita,Kansas City,Western,Western,0,1
3202,3832127,http://www.noabank.com,12060.0,Stock,58657,0,4816320,NOA Bank,Duluth,GA,30096,3/31/2019,5/19/2019,NM,2385 Pleasant Hill Road,"NOA BANCORP, INC.",Gwinnett,"Atlanta-Sandy Springs-Roswell, GA",11/6/2008,5,0,0,4,1,11/6/2008,4/9/2019,0,0,FDIC,DIF,Atlanta,ATLANTA,Atlanta,Atlanta,Southern,Southeast,0,1
3203,3388165,WWW.NOAHBANK.COM,37980.0,Stock,58196,0,0,Noah Bank,Elkins Park,PA,19027,3/31/2019,5/19/2019,NM,7301 Old York Rd,,Montgomery,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",7/17/2006,5,0,1,4,0,7/17/2006,6/19/2015,0,0,FDIC,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1
3204,3385744,http://www.noblebank.com,11500.0,Stock,58111,0,5109672,NobleBank & Trust,Anniston,AL,36201,3/31/2019,5/19/2019,SM,1509 Quintard Avenue,"NOBLE BANCSHARES, INC.",Calhoun,"Anniston-Oxford-Jacksonville, AL",10/11/2005,5,0,0,4,0,10/11/2005,11/6/2013,0,0,FED,DIF,Atlanta,ATLANTA,Shelby,Atlanta,Southern,Southeast,0,1
3205,285777,www.nokomissavings.com,,Non-Stock,29532,3607,0,Nokomis Savings Bank,Nokomis,IL,62075,3/31/2019,5/19/2019,SB,100 West State Street,,Montgomery,,1/1/1881,1,0,0,2,0,7/11/1938,9/1/2017,0,0,FDIC,DIF,Chicago,CHICAGO,Springfield Il,St. louis,Central,Central,0,1
3206,958763,www.normangeestatebank.com,,Stock,3368,0,4839310,Normangee State Bank,Normangee,TX,77871,3/31/2019,5/19/2019,NM,116 Main Street,"NORMANGEE BANCSHARES, INC.",Leon,,1/1/1912,1,0,0,8,0,1/1/1934,6/1/2010,0,0,FDIC,DIF,Dallas,DALLAS,Houston,Dallas,Southern,West,0,1
3207,258146,www.northadamsbank.com,,Stock,23244,0,1134171,North Adams State Bank,Ursa,IL,62376,3/31/2019,5/19/2019,NM,114 North Warsaw Street,"NORTH ADAMS BANCSHARES, INC.",Adams,,11/10/1980,2,0,0,2,0,11/10/1980,8/5/2016,0,0,FDIC,DIF,Chicago,CHICAGO,Springfield Il,St. louis,Central,Central,0,1
3208,1402384,www.northalabamabank.com,26620.0,Stock,27560,0,5140312,North Alabama Bank,Hazel Green,AL,35750,3/31/2019,5/19/2019,NM,13914 Highway 231-431 North,BOLC CORP.,Madison,"Huntsville, AL",8/14/1989,4,0,0,4,0,8/14/1989,2/24/2011,0,0,FDIC,DIF,Atlanta,DALLAS,Shelby,Atlanta,Southern,Southeast,0,1
3209,2631846,http://www.nabankco.com,33460.0,Stock,34836,0,2631798,North American Banking Company,Roseville,MN,55113,3/31/2019,5/19/2019,SM,2230 Albert Street North,N.A. CORPORATION,Ramsey,"Minneapolis-St. Paul-Bloomington, MN-WI",7/21/1998,5,0,0,4,1,7/21/1998,2/17/2015,0,0,FED,DIF,Kansas City,KANSAS CITY,Minneapolis,Minneapolis,Central,West,0,1
