,cert,fed_rssd
671,58545,3606971
672,58228,3408728
673,16110,1004256
674,20624,129732
675,902,325534
676,25249,754068
677,34328,2506328
678,22134,995076
679,4999,4262534
680,11785,925354
681,9024,498625
682,58583,3614958
683,58037,3390337
684,35331,2907439
685,57974,3394380
686,23242,50461
687,58291,3545258
688,58670,3686982
689,5874,39327
690,35069,2854494
691,17870,758703
692,10987,338851
693,8152,736206
694,10471,302133
695,16161,293651
696,10840,424437
697,26450,379470
698,15285,481140
699,35547,2919423
700,90203,627108
701,26517,119779
702,19401,596156
703,35164,2921659
704,57495,3134399
705,35278,2808602
706,9622,876634
707,33823,2068107
708,33954,2253891
709,4297,112837
710,34074,2339599
711,27981,968070
712,24199,285544
713,9998,18836
714,58823,3715444
715,5558,419460
716,19278,732954
717,58432,3486623
718,16723,355120
719,57026,2966614
720,2380,541857
721,32393,395274
722,1611,490843
723,12383,1001648
724,29774,219679
725,17369,171656
726,58596,3476192
727,28942,900678
728,30394,268677
729,16584,370833
730,3614,306337
731,1265,574976
732,1068,177751
733,19645,734051
734,1913,152253
735,17979,742056
736,10532,930853
737,18503,595869
738,3615,307932
739,33859,2132594
740,12959,254504
741,5472,529659
742,6954,63201
743,15310,594433
744,58434,3615021
745,21227,218131
746,1421,380841
747,1552,830542
748,13959,71859
749,16595,655839
750,31121,813572
751,34478,2651899
752,57244,3029589
753,18820,1005851
754,25591,550653
755,14694,1014246
756,57684,3262788
757,57056,2998576
758,8848,308256
759,3098,89957
760,30996,934271
761,11241,456045
762,8439,531250
763,14562,973364
764,10976,1017957
765,19293,862945
766,16436,51459
767,35117,2887399
768,33555,1929247
769,12854,783648
770,19904,800853
771,31545,265676
772,9204,622774
773,1756,3488579
774,15555,546544
775,58377,3468450
776,17612,31255
777,15815,1007015
778,529,903950
779,11772,686655
780,11670,931038
781,4551,934954
782,4536,299046
783,16924,576541
784,17009,751852
785,11000,1015243
786,15142,997650
787,35348,2826316
788,4569,611451
789,4534,506249
790,26247,704559
791,17633,290052
792,25268,386852
793,28425,467470
794,27910,615879
795,30664,544577
796,4702,234355
797,22396,428060
798,17308,701062
799,1095,382050
800,10903,607146
801,8487,152440
802,72,353238
803,1550,678744
804,23030,703767
805,15532,163343
806,17764,876700
807,7461,411512
808,58158,3377235
809,28362,83375
810,14051,305648
811,11448,58636
812,147,944337
813,5015,694847
814,19943,377908
815,35558,2939001
816,35236,2921211
817,35450,2920287
818,8296,904359
819,29700,345877
820,28860,401072
821,30428,392778
822,1993,75651
823,28263,767974
824,34294,2471239
825,29672,100777
826,58595,3597211
827,5615,517049
828,13251,416357
829,57031,2901558
830,7356,126012
831,11570,748357
832,26602,947776
833,57450,3150447
834,33497,1893049
835,59108,5278251
836,33926,2232757
837,27086,1158878
838,34686,2705112
839,58776,3715800
840,23137,160650
841,18660,814458
842,26185,582953
843,23702,489913
844,35514,2915126
845,18238,345309
846,15427,771748
847,14009,711548
848,1003,542649
849,597,884303
850,951,205542
851,6862,214722
852,28684,204077
853,19813,86554
854,30220,231279
855,10872,767246
856,13956,925859
857,57363,3032833
858,15546,504142
859,32209,562076
860,35366,2925620
861,12322,779650
862,21955,372855
863,58244,3455236
864,9423,826956
865,1014,324340
866,33306,1842065
867,91325,975751
868,11729,340742
869,3226,327855
870,28346,66677
871,58978,3918898
872,7213,476810
873,7799,895710
874,1715,869663
875,1402,279954
876,10363,928421
877,11432,209447
878,22601,97457
879,8758,410944
880,13055,783844
881,1051,535641
882,3140,885252
883,16817,744854
884,324,514132
885,14488,1001853
886,17809,98463
887,6103,381839
888,9647,44741
889,262,840019
890,14851,778738
891,893,126834
892,57483,3174920
893,14293,964250
894,9777,729945
895,10218,56258
896,18620,765318
897,1376,357937
898,5469,925055
899,16417,384830
900,1972,657758
901,15675,829041
902,6100,321152
903,16780,364131
904,19744,767554
905,27153,1163283
906,5673,701839
907,4533,381343
908,823,991621
909,22717,255556
910,10317,715630
911,8200,874050
912,19679,807656
913,15477,19936
914,8908,84804
915,10843,441135
916,35442,2921622
917,20454,915935
918,1956,954251
919,16442,131034
920,4707,1014853
921,2718,495419
922,1711,63733
923,20161,1016857
924,22954,897237
925,16126,44750
926,8572,246451
927,19420,367431
928,6760,481627
929,12309,617051
930,57957,3303298
931,31900,851172
932,21716,933966
933,34256,2512347
934,12079,564838
935,33739,2002222
936,33753,2007991
937,12694,578554
938,57265,962890
939,12165,344816
940,16852,959443
941,28060,647777
942,27841,673477
943,13032,716954
944,34311,2532082
945,33440,1867983
946,35477,2882983
947,35022,2751007
948,939,476342
949,20872,764816
950,16863,825753
951,3127,59352
952,24085,700252
953,20954,717737
954,14779,233358
955,15760,853747
956,5018,773742
957,3158,901451
958,4549,870650
959,5574,552161
960,26381,594853
961,10531,732253
962,30150,864378
963,31184,828473
964,12128,544447
965,10125,758842
966,11761,730745
967,30270,1014376
968,14785,474544
969,10319,55635
970,17880,398631
971,12303,625065
972,16934,317650
973,11759,212344
974,19806,877154
975,16581,489155
976,9047,795548
977,22657,804860
978,6194,867856
979,10474,356239
980,12501,54656
981,17214,523161
982,16753,261360
983,18724,235558
984,5495,482053
985,18356,413543
986,22523,139834
987,2467,149150
988,11905,899651
989,15519,296755
990,15333,947655
991,11778,733951
992,5830,678557
993,1933,875655
994,1918,1001451
995,10957,82659
996,1513,447557
997,9422,940852
998,6186,479446
999,10327,954653
1000,931,771047
1001,13107,1000641
1002,10167,822051
1003,10582,207957
1004,9337,213958
1005,1118,274856
1006,20818,162337
1007,8033,680130
1008,5840,65746
1009,8738,192147
1010,17830,376947
1011,23523,563336
1012,25103,575254
1013,12608,841753
1014,5396,79855
1015,34352,2697963
1016,17281,63069
1017,24367,697950
1018,20234,814430
1019,21111,567905
1020,17735,1011526
1021,14410,252041
1022,58458,3465226
1023,9499,841838
1024,12982,542528
1025,9486,641579
1026,1022,988144
1027,18038,47500
1028,57624,3185579
1029,14581,1007958
1030,34957,2735173
1031,3126,182951
1032,58660,3730746
1033,2444,832528
1034,29764,125873
1035,10821,498942
1036,15690,865544
1037,2443,886624
1038,34748,2723376
1039,406,155759
1040,9517,48440
1041,304,782548
1042,90181,179700
1043,13876,399517
1044,2241,219651
1045,3775,613343
1046,14507,944627
1047,58899,3869123
1048,58864,3821822
1049,34403,2562164
1050,26575,453370
1051,57756,3274709
1052,30085,660570
1053,22090,211338
1054,34908,2847142
1055,18855,156635
1056,15480,761954
1057,8140,178356
1058,14914,219044
1059,28103,658474
1060,18223,890603
1061,28481,117074
1062,31361,339072
1063,22257,491934
1064,33111,1718469
1065,13986,403254
1066,28834,174572
